,Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Area harvested(ha),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Production(tonnes),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Yield (kg/ha),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Pesticides (total),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Precipitation (mm),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Fertilizer (kg/ha),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean),Average Mean Surface Air Temperature (Annual Mean)
Finland,63.0,39085.269841269845,15921.804583658373,16500.0,26850.0,36400.0,46100.0,76942.0,63.0,736630.1111111111,170378.64293448615,477800.0,618150.0,725600.0,794550.0,1257400.0,63.0,20619.650793650795,5451.130963324389,11057.0,15908.0,19880.0,25699.5,30188.0,63.0,2149.3968253968255,2066.618154873869,0.0,0.0,3019.0,4059.5,5254.0,63.0,703.2857142857143,76.05609741445488,561.0,652.0,701.0,750.5,893.0,63.0,147.66666666666666,50.970263310439,70.0,97.0,142.0,195.5,242.0,63.0,1.9206349206349207,1.0969398387006566,-1.0,1.0,2.0,3.0,4.0
France,63.0,267865.61904761905,176126.14823274862,154097.0,162618.5,204010.0,284600.0,890176.0,63.0,7631853.111111111,2131267.1226080516,4326000.0,6476744.5,7119837.0,8076282.0,15974000.0,63.0,33067.968253968254,9227.392049286407,15379.0,25416.0,34884.0,41043.5,47978.0,63.0,43275.57142857143,41909.877619957515,0.0,0.0,61903.0,77760.0,114695.0,63.0,962.4603174603175,101.95157379804195,742.0,882.5,978.0,1036.5,1176.0,63.0,235.17460317460316,70.18398394692746,121.0,169.5,230.0,307.0,345.0,63.0,11.174603174603174,0.9594972228385659,9.0,10.0,11.0,12.0,13.0
Germany,63.0,653046.3650793651,462058.4876050308,236700.0,273900.0,341782.0,988418.0,1705524.0,63.0,17348974.15873016,8220955.897647862,8920800.0,11324840.0,13099568.0,21484112.0,38697568.0,63.0,32096.15873015873,9449.998686134657,16387.0,23166.5,30193.0,40439.5,47415.0,63.0,20797.4126984127,20052.2195969029,0.0,0.0,29542.0,39891.5,48712.0,63.0,879.6666666666666,103.85582438199852,638.0,811.0,883.0,955.0,1081.0,63.0,288.4920634920635,98.0327254470493,117.0,210.5,257.0,398.0,440.0,63.0,9.11111111111111,1.0177633781517246,7.0,8.0,9.0,10.0,11.0
Greece,63.0,47671.25396825397,14600.911247488644,10960.0,45414.5,51417.0,56099.0,69400.0,63.0,815644.0476190476,235401.43494406212,309140.0,600894.0,907720.0,1005961.5,1148000.0,63.0,18437.88888888889,5487.461876158586,7121.0,14980.0,19841.0,20569.5,30885.0,63.0,3991.15873015873,4314.552637095685,0.0,0.0,3988.0,7321.0,13959.0,63.0,803.1904761904761,120.82136335647753,520.0,735.5,798.0,878.5,1043.0,63.0,154.25396825396825,47.135346730647164,57.0,118.0,153.0,187.0,246.0,63.0,14.031746031746032,0.8025816000771422,13.0,13.0,14.0,15.0,16.0
Hungary,63.0,84780.57142857143,72364.8789945372,7570.0,25229.0,70239.0,118836.5,268864.0,63.0,1146905.7777777778,598132.4273350004,199210.0,574888.0,1198681.0,1579549.0,2906524.0,63.0,18192.650793650795,6170.534687342821,6807.0,12679.0,18474.0,24186.5,28571.0,63.0,4587.873015873016,4556.130982753026,0.0,0.0,4598.0,8702.5,12756.0,63.0,690.3015873015873,113.68613200537287,470.0,616.5,681.0,766.5,1042.0,63.0,151.11111111111111,86.81015830091194,40.0,89.5,113.0,235.5,316.0,63.0,11.079365079365079,0.9384542421276235,9.0,10.0,11.0,12.0,13.0
Ireland,63.0,30285.349206349205,21904.329244473152,8210.0,11750.0,22400.0,41398.5,86237.0,63.0,799641.9365079365,505822.49044370634,232000.0,409650.0,618000.0,1043950.0,2145000.0,63.0,29463.26984126984,6859.497929540186,19000.0,24715.0,27589.0,33726.0,45633.0,63.0,1392.920634920635,1348.2225850210643,0.0,0.0,1942.0,2685.0,3692.0,63.0,1075.1587301587301,121.56946857120037,788.0,1016.0,1060.0,1159.5,1331.0,63.0,1136.1746031746031,381.5604860384371,311.0,982.5,1124.0,1317.0,1886.0,63.0,9.53968253968254,0.5909368402852788,8.0,9.0,10.0,10.0,11.0
Italy,63.0,141788.66666666666,100536.38596451761,45450.0,70245.0,106012.0,176128.0,385952.0,63.0,2377006.206349206,851939.4705395441,1265450.0,1681826.5,2218550.0,2911400.0,4384200.0,63.0,20489.634920634922,5702.4895505598915,9453.0,16548.5,21770.0,25076.0,30299.0,63.0,39064.23809523809,38085.27266318955,0.0,0.0,48405.0,77712.5,100596.0,63.0,1020.4444444444445,131.9887309189907,821.0,913.5,1002.0,1116.0,1367.0,63.0,164.57142857142858,53.30608943176109,68.0,125.0,164.0,216.5,251.0,63.0,12.761904761904763,0.7342823073671614,12.0,12.0,13.0,13.0,14.0
Latvia,32.0,41318.875,25162.21989764455,7300.0,24378.0,39050.0,54725.0,96900.0,32.0,604009.625,299183.18688634183,115100.0,489700.0,583100.0,752425.0,1271700.0,32.0,16079.4375,3154.2127276789074,11167.0,13580.0,15905.5,18545.75,22370.0,32.0,983.375,563.7810001490226,285.0,368.5,1016.5,1486.0,1984.0,32.0,754.40625,85.65529544106876,559.0,696.25,762.0,817.0,918.0,32.0,74.90625,26.65957356941828,22.0,56.0,68.0,101.0,113.0,32.0,6.9375,0.8400268812903089,5.0,6.0,7.0,7.0,9.0
Lithuania,32.0,64760.4375,43335.19448173922,14730.0,23155.75,50600.0,110400.0,136200.0,32.0,882226.5625,599927.5591506962,200160.0,387264.25,625100.0,1466725.0,2044300.0,32.0,14187.96875,2570.5356475102553,7908.0,12859.75,14831.5,15769.25,18149.0,32.0,1867.96875,981.5484963081747,688.0,907.75,1943.0,2714.75,3614.0,32.0,750.96875,83.89412850961082,585.0,683.75,752.0,807.25,915.0,32.0,95.71875,35.505778153112836,31.0,53.75,104.5,120.0,141.0,32.0,7.5,0.8032193289024988,6.0,7.0,7.5,8.0,9.0
Montenegro,18.0,1945.888888888889,2062.657819669989,1211.0,1296.25,1589.0,1618.25,10179.0,18.0,28851.166666666668,26432.960941730664,12720.0,18915.25,23732.0,27423.25,132783.0,18.0,15261.277777777777,2080.5362093221675,10504.0,14642.0,15611.5,16745.25,18551.0,18.0,69.83333333333333,40.09437396355518,1.0,67.25,84.0,93.5,119.0,18.0,1652.2222222222222,280.2111715360306,1022.0,1521.0,1642.5,1854.0,2274.0,18.0,171.33333333333334,132.3969077300168,11.0,15.25,240.5,283.0,325.0,18.0,10.333333333333334,0.5940885257860046,9.0,10.0,10.0,11.0,11.0
Netherlands,63.0,158713.09523809524,14556.884979739452,124596.0,154524.0,160034.0,166065.0,187200.0,63.0,6350126.111111111,1165114.5399196446,3229591.0,5759810.5,6673036.0,7094129.0,8331000.0,63.0,39765.25396825397,5105.876393031016,25890.0,36717.5,41488.0,43520.0,46338.0,63.0,5368.349206349207,5046.171551552818,0.0,0.0,8732.0,9912.5,12073.0,63.0,854.0,111.37512897787688,579.0,778.5,852.0,931.0,1131.0,63.0,535.6984126984127,209.02566865992833,231.0,297.5,581.0,741.5,852.0,63.0,10.015873015873016,0.9917736391722092,8.0,9.0,10.0,11.0,12.0
Norway,63.0,21553.349206349205,11328.338132481304,11505.0,13897.5,18130.0,24513.0,53301.0,63.0,520823.2698412698,237083.64737224966,295500.0,364000.0,435386.0,597750.0,1222200.0,63.0,24970.84126984127,2957.485784910343,16406.0,23108.5,25165.0,26807.5,31758.0,63.0,393.07936507936506,380.9890905891893,0.0,0.0,519.0,742.0,1183.0,63.0,1287.7460317460318,137.85709855170953,1029.0,1177.5,1296.0,1393.5,1581.0,63.0,231.9206349206349,40.37897152635091,170.0,204.0,219.0,255.0,323.0,63.0,1.7619047619047619,0.9790430764895485,0.0,1.0,2.0,2.0,3.0
Poland,63.0,1569927.603174603,957892.7001595665,188580.0,559242.0,1757336.0,2453314.5,2910100.0,63.0,27714453.412698414,15934977.857724076,5590030.0,10036026.5,27217090.0,42613328.0,51928208.0,63.0,19435.079365079364,4575.469816531051,11260.0,16644.5,18599.0,20455.5,34766.0,63.0,8547.84126984127,9546.99036549815,0.0,0.0,7136.0,18607.0,26949.0,63.0,753.8253968253969,83.05410977820223,582.0,691.0,744.0,806.0,946.0,63.0,162.79365079365078,56.91282488558034,56.0,115.5,162.0,222.5,248.0,63.0,8.34920634920635,0.9530719459477264,7.0,8.0,8.0,9.0,10.0
Portugal,63.0,80760.22222222222,42919.61658144453,14480.0,35243.0,101161.0,119588.0,135500.0,63.0,936435.4761904762,369498.7783704044,319830.0,543939.5,1002592.0,1200424.0,1641198.0,63.0,13715.904761904761,4513.496001114185,7652.0,9835.5,13095.0,16135.0,24602.0,63.0,6629.444444444444,6625.55769722694,0.0,0.0,8057.0,12603.5,17452.0,63.0,806.968253968254,160.56653411953647,515.0,695.5,789.0,930.5,1218.0,63.0,119.60317460317461,38.853131099191444,52.0,98.0,115.0,137.5,203.0,63.0,15.571428571428571,0.6651287945684319,14.0,15.0,16.0,16.0,17.0
Romania,63.0,265410.09523809527,63761.17810885785,79490.0,247660.0,283089.0,310619.5,351400.0,63.0,3475182.8253968256,1105536.4751441474,1183470.0,2695792.0,3519329.0,4046234.5,6631200.0,63.0,13364.79365079365,3214.2507889324042,6746.0,11474.0,13763.0,15458.5,20658.0,63.0,6297.142857142857,7010.820125641606,0.0,0.0,6733.0,10699.5,25255.0,63.0,822.047619047619,102.30085746360103,587.0,752.5,809.0,899.5,1051.0,63.0,75.52380952380952,44.73717410100663,10.0,42.0,59.0,107.0,172.0,63.0,9.746031746031745,0.9994878360739592,8.0,9.0,10.0,10.5,12.0
Slovenia,32.0,6002.96875,3120.209861473599,2730.0,3271.5,5081.5,9010.5,12928.0,32.0,122265.0625,46793.27769127465,58230.0,83486.0,105199.5,167340.25,195667.0,32.0,21952.3125,4147.1872351884085,12100.0,19236.75,22898.0,24594.5,30263.0,32.0,1123.09375,189.6098471947747,695.0,983.5,1128.0,1224.75,1558.0,32.0,1297.96875,169.42530647989528,891.0,1200.75,1299.0,1403.5,1723.0,32.0,315.9375,75.8865611375975,216.0,257.75,276.5,382.0,460.0,32.0,9.90625,0.777065405973841,8.0,9.0,10.0,10.0,11.0
Spain,63.0,231207.33333333334,135852.40973155745,59360.0,85547.0,257152.0,369897.5,416360.0,63.0,3936324.619047619,1373287.8725816214,1881920.0,2529465.5,4078500.0,5248550.0,5980676.0,63.0,21251.968253968254,7557.943878886326,10160.0,14462.0,19295.0,28883.0,33898.0,63.0,26866.904761904763,28253.272043288613,0.0,0.0,31244.0,40872.0,78818.0,63.0,673.5714285714286,101.4566035126022,475.0,605.0,654.0,727.0,994.0,63.0,117.33333333333333,36.70018018765646,45.0,93.5,121.0,149.5,175.0,63.0,13.698412698412698,0.6632014396196444,12.0,13.0,14.0,14.0,15.0
Sweden,63.0,38706.95238095238,14472.41328096718,22500.0,27885.0,35813.0,44820.0,86533.0,63.0,1087176.0317460317,252897.5588380739,723000.0,857500.0,1036160.0,1261215.0,1907750.0,63.0,29490.222222222223,5030.9975456821185,17630.0,26001.5,30195.0,33455.0,37510.0,63.0,1062.5873015873017,1021.4729818939782,0.0,0.0,1466.0,2040.0,2549.0,63.0,773.1904761904761,70.72159344077197,596.0,724.0,780.0,816.5,944.0,63.0,122.0,31.86868216958157,64.0,98.5,113.0,153.0,188.0,63.0,2.7301587301587302,1.0955385949878895,0.0,2.0,3.0,3.5,5.0
Switzerland,63.0,20661.79365079365,10556.49817633934,10704.0,11543.0,17900.0,24550.0,51000.0,63.0,709875.9523809524,255292.0236422765,342752.0,486669.0,712400.0,906650.0,1245500.0,63.0,36438.49206349206,5883.482315533383,23000.0,32496.5,37200.0,40318.0,48722.0,63.0,1025.6031746031747,981.3489159460406,0.0,0.0,1391.0,2013.0,2282.0,63.0,1610.2222222222222,172.70022922864706,1213.0,1471.0,1643.0,1728.0,2024.0,63.0,315.6666666666667,105.00537620644985,133.0,214.5,320.0,415.5,489.0,63.0,6.0,0.9332565252573828,4.0,5.0,6.0,7.0,8.0
Turkey,63.0,169933.03174603175,25009.669812454704,124944.0,147406.0,174000.0,191774.5,219800.0,63.0,3780136.6507936507,1292353.87732795,1405000.0,2775000.0,4227726.0,4765000.0,6000000.0,63.0,22484.968253968254,8206.77225845836,9558.0,15300.5,23065.0,27930.5,37767.0,63.0,20674.85714285714,20765.936820371233,0.0,0.0,25539.0,38103.0,59922.0,63.0,719.6507936507936,81.74037552700283,544.0,651.5,719.0,778.5,912.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,11.396825396825397,0.7733396895760817,10.0,11.0,11.0,12.0,13.0
Ukraine,32.0,1447596.15625,128772.1117368522,1204300.0,1324700.0,1448700.0,1549450.0,1705287.0,32.0,19680817.375,2668045.512482363,12723000.0,18442250.0,20053645.0,21356897.5,24248000.0,32.0,13789.75,2714.6594392239595,8203.0,11821.5,13517.5,16252.25,17649.0,32.0,42359.5625,21964.343568225857,12558.0,24547.75,36454.0,58147.0,90050.0,32.0,643.5625,65.31113499885535,516.0,596.25,649.5,697.25,803.0,32.0,37.28125,20.738361485343393,13.0,16.75,33.5,47.75,81.0,32.0,9.4375,0.8400268812903089,8.0,9.0,9.0,10.0,11.0
United Kingdom,63.0,192262.14285714287,58057.54954377294,115076.0,144500.0,177100.0,218050.0,335000.0,63.0,6440676.301587301,838055.7794375803,4553000.0,5914500.0,6485000.0,7098000.0,8006000.0,63.0,35319.31746031746,6973.397787595733,21545.0,30241.5,37046.0,40844.5,44417.0,63.0,13807.492063492064,13885.45869800376,0.0,0.0,16601.0,26724.5,35579.0,63.0,1017.9206349206349,102.10372676325392,813.0,960.5,1023.0,1082.5,1222.0,63.0,284.93650793650795,58.19014244639196,191.0,243.0,267.0,333.0,390.0,63.0,8.88888888888889,0.7209114104026552,8.0,8.0,9.0,9.0,10.0
